product_id,quantity,message,status
SDL169617083,0,Duplicate update requests,Failed
SDL912359228,0,Duplicate update requests,Failed
SDL315181115,50,Duplicate update requests,Failed
SDL529321945,0,Duplicate update requests,Failed
SDL725600925,13,Duplicate update requests,Failed
SDL385983351,0,Duplicate update requests,Failed
SDL598583060,0,Duplicate update requests,Failed
SDL671912119,10,Duplicate update requests,Failed
SDL350943438,18,Duplicate update requests,Failed
SDL997706799,50,Duplicate update requests,Failed
SDL732428630,0,Duplicate update requests,Failed
SDL595075740,0,Duplicate update requests,Failed
SDL363375314,50,Duplicate update requests,Failed
SDL548617847,28,Duplicate update requests,Failed
SDL304138641,2,Duplicate update requests,Failed
SDL407356422,0,Duplicate update requests,Failed
SDL304016400,0,Duplicate update requests,Failed
SDL921413300,0,Duplicate update requests,Failed
SDL840988842,0,Duplicate update requests,Failed
SDL483838350,0,Duplicate update requests,Failed
SDL276611083,0,Duplicate update requests,Failed
SDL234416320,0,Duplicate update requests,Failed
SDL166681748,4,Duplicate update requests,Failed
SDL924045821,0,Duplicate update requests,Failed
SDL645063192,0,Duplicate update requests,Failed
SDL502980513,50,Duplicate update requests,Failed
SDL520499819,0,Duplicate update requests,Failed
SDL379518900,2,Duplicate update requests,Failed
SDL650234607,0,Duplicate update requests,Failed
SDL357375622,5,Duplicate update requests,Failed
SDL859172303,0,Duplicate update requests,Failed
SDL663887188,0,Duplicate update requests,Failed
SDL562999656,50,Duplicate update requests,Failed
SDL772378658,0,Duplicate update requests,Failed
SDL052584036,4,Duplicate update requests,Failed
SDL363375314,50,Duplicate update requests,Failed
SDL066139045,7,Duplicate update requests,Failed
SDL220036737,0,Duplicate update requests,Failed
SDL137175340,0,Duplicate update requests,Failed
SDL991748131,0,Duplicate update requests,Failed
SDL167242758,0,Duplicate update requests,Failed
SDL751718266,0,Duplicate update requests,Failed
SDL786355529,6,Duplicate update requests,Failed
SDL636945373,0,Duplicate update requests,Failed
SDL749583947,0,Duplicate update requests,Failed
SDL429493623,31,Duplicate update requests,Failed
SDL362750505,0,Duplicate update requests,Failed
SDL047029699,0,Duplicate update requests,Failed
SDL041030040,0,Duplicate update requests,Failed
SDL272291675,0,Duplicate update requests,Failed
SDL389146293,2,Duplicate update requests,Failed
SDL208620318,29,Duplicate update requests,Failed
SDL645016498,5,Duplicate update requests,Failed
SDL562297460,0,Duplicate update requests,Failed
SDL787084366,0,Duplicate update requests,Failed
SDL356159921,20,Duplicate update requests,Failed
SDL456725133,0,Duplicate update requests,Failed
SDL641185554,0,Duplicate update requests,Failed
SDL927306342,50,Duplicate update requests,Failed
SDL363375314,50,Duplicate update requests,Failed
SDL102340429,50,Duplicate update requests,Failed
SDL002611315,0,Duplicate update requests,Failed
SDL208526618,0,Duplicate update requests,Failed
SDL666568795,0,Duplicate update requests,Failed
SDL725600925,0,Duplicate update requests,Failed
SDL423009605,0,Duplicate update requests,Failed
SDL652796755,0,Duplicate update requests,Failed
SDL737425536,0,Duplicate update requests,Failed
SDL227164204,50,Duplicate update requests,Failed
SDL831781432,9,Duplicate update requests,Failed
SDL257575812,12,Duplicate update requests,Failed
SDL607352635,0,Duplicate update requests,Failed
SDL761446374,50,Duplicate update requests,Failed
SDL754556123,0,Duplicate update requests,Failed
SDL920235104,0,Duplicate update requests,Failed
SDL756387883,7,Duplicate update requests,Failed
SDL740868090,6,Duplicate update requests,Failed
SDL344680083,0,Duplicate update requests,Failed
SDL220068336,19,Duplicate update requests,Failed
SDL477473192,29,Duplicate update requests,Failed
SDL100017638,0,Duplicate update requests,Failed
SDL031390815,0,Duplicate update requests,Failed
SDL449647953,50,Duplicate update requests,Failed
SDL772359062,50,Duplicate update requests,Failed
SDL831242991,32,Duplicate update requests,Failed
SDL935279724,0,Duplicate update requests,Failed
SDL606793440,0,Duplicate update requests,Failed
SDL296118393,0,Duplicate update requests,Failed
SDL753766985,5,Duplicate update requests,Failed
SDL316807568,12,Duplicate update requests,Failed
SDL423453870,50,Duplicate update requests,Failed
SDL463225300,0,Duplicate update requests,Failed
SDL922536040,0,Duplicate update requests,Failed
SDL500039489,50,Duplicate update requests,Failed
SDL311232933,44,Duplicate update requests,Failed
SDL482395712,27,Duplicate update requests,Failed
SDL761954067,0,Duplicate update requests,Failed
SDL322798524,4,Duplicate update requests,Failed
SDL224098750,1,Duplicate update requests,Failed
SDL449647953,0,Duplicate update requests,Failed
SDL726843670,50,Duplicate update requests,Failed
SDL772378658,0,Duplicate update requests,Failed
SDL226819983,0,Duplicate update requests,Failed
SDL211502167,0,Duplicate update requests,Failed
SDL596248574,0,Duplicate update requests,Failed
SDL948612664,0,Duplicate update requests,Failed
SDL328610313,50,Duplicate update requests,Failed
SDL430871504,50,Duplicate update requests,Failed
SDL167189204,4,Duplicate update requests,Failed
SDL477473192,35,Duplicate update requests,Failed
SDL315892143,0,Duplicate update requests,Failed
SDL570947385,0,Duplicate update requests,Failed
SDL580282293,0,Duplicate update requests,Failed
SDL449461999,50,Duplicate update requests,Failed
SDL776802197,0,Duplicate update requests,Failed
SDL225946316,50,Duplicate update requests,Failed
SDL982266851,50,Duplicate update requests,Failed
SDL949445869,0,Duplicate update requests,Failed
SDL770242187,0,Duplicate update requests,Failed
SDL652659338,50,Duplicate update requests,Failed
SDL758359980,0,Duplicate update requests,Failed
SDL010024600,0,Duplicate update requests,Failed
SDL613811230,0,Duplicate update requests,Failed
SDL405781723,0,Duplicate update requests,Failed
SDL188257605,0,Duplicate update requests,Failed
SDL930542710,0,Duplicate update requests,Failed
SDL054867683,0,Duplicate update requests,Failed
SDL337958249,0,Duplicate update requests,Failed
SDL300333088,0,Duplicate update requests,Failed
SDL236389342,0,Duplicate update requests,Failed
SDL257413580,0,Duplicate update requests,Failed
SDL229538384,0,Duplicate update requests,Failed
SDL782116172,3,Duplicate update requests,Failed
SDL524023783,1,Duplicate update requests,Failed
SDL600867479,0,Duplicate update requests,Failed
SDL178735717,0,Duplicate update requests,Failed
SDL026080237,0,Duplicate update requests,Failed
SDL776802197,0,Duplicate update requests,Failed
SDL214798514,0,Duplicate update requests,Failed
SDL479191900,0,Duplicate update requests,Failed
SDL094548013,0,Duplicate update requests,Failed
SDL846486273,0,Duplicate update requests,Failed
SDL819711698,0,Duplicate update requests,Failed
SDL494599491,0,Duplicate update requests,Failed
SDL261681123,0,Duplicate update requests,Failed
SDL238237807,0,Duplicate update requests,Failed
SDL070526830,0,Duplicate update requests,Failed
SDL632036371,0,Duplicate update requests,Failed
SDL242232689,0,Duplicate update requests,Failed
SDL045526412,0,Duplicate update requests,Failed
SDL618849763,2,Duplicate update requests,Failed
SDL998663867,50,Duplicate update requests,Failed
SDL881112655,0,Duplicate update requests,Failed
SDL069300415,0,Duplicate update requests,Failed
SDL524023783,1,Duplicate update requests,Failed
SDL744863372,0,Duplicate update requests,Failed
SDL328610313,23,Duplicate update requests,Failed
SDL292900183,0,Duplicate update requests,Failed
SDL232017019,0,Duplicate update requests,Failed
SDL917082795,0,Duplicate update requests,Failed
SDL725812253,0,Duplicate update requests,Failed
SDL520809132,50,Duplicate update requests,Failed
SDL645016498,3,Duplicate update requests,Failed
SDL957497297,0,Duplicate update requests,Failed
SDL235617793,0,Duplicate update requests,Failed
SDL427796824,0,Duplicate update requests,Failed
SDL787084366,6,Duplicate update requests,Failed
SDL506416961,0,Duplicate update requests,Failed
